,name,book_to_market,,Date
,華南金,1.36,,
,富邦金,1.44,,
,國泰金,1.8,,
,開發金,0.88,,
,玉山金,1.2,,
,元大金,1.36,,
,兆豐金,1.33,,
,台新金,0.8,,
,中信金,1.29,,
,第一金,1.44,,
,統一超,9.56,,
,大立光,5.42,,
,聯詠,2.18,,
,欣興,1.44,,
,台灣大,6.52,,
,遠傳,2.4,,
,台塑化,3.83,,
,南電,1.7,,
,豐泰,1.82,,
,台泥,1.24,,
,統一,2.75,,
,台塑,1.95,,
,南亞,1.62,,
,台化,1.69,,
,亞德客-KY,3.85,,
,中鋼,1.72,,
,和泰車,3.71,,
,聯電,0.82,,
,台達電,2.26,,
,鴻海,1.71,,
,國巨,0.58,,
,台積電,3.43,,
,華碩,1.51,,
,瑞昱,1.31,,
,廣達,2.16,,
,研華,3.34,,
,南亞科,0.6,,
,友達,0.52,,
,中華電,2.23,,
,聯發科,3.34,,
,長榮,0.79,,
,陽明,0.91,,
,萬海,0.96,,
,彰銀,1.21,,
,華南金,1.38,,
,富邦金,1.23,,
,國泰金,1.51,,
,開發金,0.78,,
,玉山金,1,,
,元大金,1.16,,
,兆豐金,1.11,,
,台新金,0.67,,
,中信金,1.07,,
,第一金,1.23,,
,統一超,8.51,,
,大立光,3.84,,
,聯詠,2.15,,
,欣興,1.17,,
,台灣大,7.28,,
,遠傳,2.76,,
,台塑化,3.79,,
,南電,1.31,,
,豐泰,1.81,,
,台泥,1.38,,
,統一,2.8,,
,台塑,2,,
,南亞,1.76,,
,台化,1.79,,
,亞德客-KY,3.69,,
,中鋼,1.52,,
,和泰車,3.04,,
,聯電,0.79,,
,台達電,2.28,,
,鴻海,1.63,,
,國巨,0.5,,
,台積電,3.28,,
,華碩,1.47,,
,瑞昱,1.28,,
,廣達,2.23,,
,研華,3.12,,
,南亞科,8.87,,
,友達,0.51,,
,中華電,2.16,,
,聯發科,3.17,,
,長榮,0.81,,
,陽明,1.03,,
,萬海,1.09,,
,彰銀,1.18,,
,華南金,1.32,,
,富邦金,1.25,,
,國泰金,1.98,,
,開發金,0.82,,
,玉山金,0.9,,
,元大金,1.21,,
,兆豐金,1.14,,
,台新金,0.64,,
,中信金,1.2,,
,第一金,1.07,,
,統一超,8.64,,
,大立光,4.07,,
,聯詠,2.14,,
,欣興,1.23,,
,台灣大,7.07,,
,遠傳,2.66,,
,中租-KY,1.44,,
,合庫金,0.98,,
,台塑化,3.9,,
,南電,1.14,,
,豐泰,1.64,,
,台泥,1.45,,
,統一,2.77,,
,台塑,2.13,,
,南亞,1.83,,
,台化,1.91,,
,亞德客-KY,4.38,,
,中鋼,1.55,,
,和泰車,3.2,,
,聯電,0.97,,
,台達電,2.42,,
,鴻海,1.88,,
,國巨,0.59,,
,台積電,3.4,,
,華碩,1.6,,
,瑞昱,1.59,,
,廣達,2.22,,
,研華,3.34,,
,南亞科,9.41,,
,友達,0.62,,
,中華電,2.08,,
,聯發科,3.23,,
,長榮,0.88,,
,陽明,1.11,,
,萬海,1.23,,
,彰銀,1.2,,
,華南金,1.35,,
,富邦金,1.28,,
,國泰金,2.04,,
,開發金,0.84,,
,玉山金,0.96,,
,元大金,1.3,,
,兆豐金,1.14,,
,台新金,0.67,,
,中信金,1.21,,
,第一金,1.09,,
,統一超,8.32,,
,大立光,4.58,,
,聯詠,2.37,,
,欣興,1.34,,
,台灣大,6.71,,
,遠傳,2.67,,
,中租-KY,1.89,,
,合庫金,0.99,,
,台塑化,3.84,,
,南電,1.29,,
,豐泰,1.66,,
,台泥,1.49,,
,統一,2.85,,
,台塑,2.27,,
,南亞,2.12,,
,台化,2.06,,
,亞德客-KY,4.97,,
,中鋼,1.61,,
,和泰車,4.17,,
,聯電,0.97,,
,台達電,2.56,,
,鴻海,2.02,,
,國巨,0.64,,
,台積電,3.51,,
,華碩,1.88,,
,瑞昱,1.81,,
,廣達,2.55,,
,研華,3.7,,
,南亞科,16.29,,
,友達,0.62,,
,中華電,1.95,,
,聯發科,3.44,,
,長榮,1.09,,
,陽明,1.46,,
,萬海,1.27,,
,彰銀,1.29,,
,華南金,1.4,,
,富邦金,1.35,,
,國泰金,2.09,,
,開發金,0.95,,
